iter	Passed	Remaining
670	5509	2701
671	5517	2693
672	5525	2684
673	5533	2676
674	5542	2668
675	5550	2660
676	5559	2652
677	5568	2644
678	5578	2637
679	5587	2629
680	5597	2621
681	5606	2614
682	5615	2606
683	5623	2597
684	5631	2589
685	5639	2581
686	5647	2573
687	5655	2564
688	5664	2556
689	5672	2548
690	5679	2539
691	5688	2531
692	5696	2523
693	5704	2515
694	5713	2507
695	5721	2498
696	5729	2490
697	5737	2482
698	5746	2474
699	5754	2466
700	5763	2458
701	5771	2449
702	5779	2441
703	5788	2433
704	5796	2425
705	5803	2416
706	5811	2408
707	5818	2399
708	5826	2391
709	5834	2383
710	5841	2374
711	5849	2366
712	5857	2357
713	5864	2349
714	5872	2340
715	5880	2332
716	5888	2324
717	5896	2315
718	5903	2307
719	5911	2298
720	5919	2290
721	5927	2282
722	5934	2273
723	5943	2265
724	5952	2257
725	5960	2249
726	5969	2241
727	5977	2233
728	5986	2225
729	5994	2217
730	6001	2208
731	6009	2200
732	6017	2191
733	6025	2183
734	6033	2175
735	6041	2166
736	6049	2158
737	6058	2150
738	6066	2142
739	6076	2134
740	6085	2126
741	6093	2118
742	6101	2110
743	6109	2102
744	6118	2094
745	6126	2086
746	6134	2077
747	6143	2069
748	6151	2061
749	6159	2053
750	6167	2044
751	6176	2036
752	6184	2028
753	6192	2020
754	6200	2012
755	6209	2003
756	6218	1996
757	6226	1987
758	6237	1980
759	6246	1972
760	6253	1964
761	6261	1955
762	6269	1947
763	6277	1939
764	6285	1930
765	6293	1922
766	6301	1914
767	6309	1906
768	6317	1897
769	6325	1889
770	6333	1881
771	6342	1873
772	6351	1865
773	6360	1857
774	6368	1848
775	6375	1840
776	6383	1832
777	6393	1824
778	6402	1816
779	6411	1808
780	6420	1800
781	6430	1792
782	6438	1784
783	6446	1776
784	6455	1768
785	6463	1759
786	6471	1751
787	6479	1743
788	6487	1735
789	6496	1726
790	6504	1718
791	6512	1710
792	6520	1702
793	6528	1693
794	6536	1685
795	6545	1677
796	6553	1669
797	6561	1660
798	6570	1652
799	6578	1644
800	6587	1636
801	6597	1628
802	6607	1621
803	6616	1612
804	6624	1604
805	6632	1596
806	6641	1588
807	6648	1579
808	6657	1571
809	6664	1563
810	6673	1555
811	6681	1546
812	6689	1538
813	6697	1530
814	6706	1522
815	6713	1513
816	6722	1505
817	6730	1497
818	6739	1489
819	6748	1481
820	6757	1473
821	6765	1465
822	6774	1456
823	6784	1449
824	6793	1441
825	6802	1432
826	6810	1424
827	6818	1416
828	6826	1408
829	6833	1399
830	6841	1391
831	6849	1383
832	6856	1374
833	6865	1366
834	6874	1358
835	6882	1350
836	6890	1341
837	6899	1333
838	6908	1325
839	6915	1317
840	6923	1308
841	6933	1300
842	6942	1292
843	6950	1284
844	6959	1276
845	6968	1268
846	6977	1260
847	6987	1252
848	6994	1244
849	7002	1235
850	7010	1227
851	7019	1219
852	7026	1210
853	7034	1202
854	7042	1194
855	7050	1186
856	7057	1177
857	7065	1169
858	7073	1161
859	7081	1152
860	7088	1144
861	7096	1136
862	7104	1127
863	7112	1119
864	7120	1111
865	7128	1103
866	7136	1094
867	7145	1086
868	7154	1078
869	7162	1070
870	7170	1061
871	7177	1053
872	7186	1045
873	7196	1037
874	7203	1029
875	7211	1020
876	7219	1012
877	7228	1004
878	7237	996
879	7244	987
880	7253	979
881	7261	971
882	7270	963
883	7277	955
884	7285	946
885	7294	938
886	7303	930
887	7310	922
888	7319	913
889	7327	905
890	7334	897
891	7343	889
892	7351	880
893	7360	872
